T146: Car appeared at 47643, not in range
T147: Car appeared at 47335, not in range
T147: Car appeared at 47374, not in range
T147: Car appeared at 47534, driving for 21 mins to 47500
T147: Car appeared at 47625, not in range
T147: Car appeared at 47672, not in range
T147: Car appeared at 47786, not in range
T148: Car appeared at 47310, not in range
T148: Car appeared at 47596, not in range
T148: Car appeared at 47643, not in range
T148: Car appeared at 47672, not in range
T148: Car appeared at 47750, not in range
T148: Car from 47487 arrived at station 47500 and entered queue
T148: Car from 47487 began charging at station 47500 for 21 minutes
T149: Car appeared at 47530, driving for 18 mins to 47500
T149: Car appeared at 47575, not in range
T149: Car appeared at 47604, not in range
T149: Car appeared at 47610, not in range
T149: Car appeared at 47685, not in range
T150: Car appeared at 47534, driving for 21 mins to 47500
T150: Car appeared at 47667, not in range
T150: Car appeared at 47720, not in range
T150: Car appeared at 47723, not in range
T151: Car appeared at 47416, not in range
T151: Car appeared at 47577, not in range
T151: Car appeared at 47594, not in range
