LHRS,Offset,Year,Hwy No,Hwy Letter,Hwy Type,Location Description,Station #,Region,Sec Len,Con Link Len,Secondary Description,PDCS #,Pattern,DHV %,Design Hr. Dir Split %,Design Hr. Dir Split Higher Volume Direction,AADT,SADT,SAWDT,WADT,Truck %,Truck AADT,Alpha Code,Count Code,cost 1,cost 2,cost 3,Latitude,Longitude
47656,0,2019,401,,FWY,KEELE ST IC-362 NORTH YORK,530,CENTRAL,3.05,0,,90,C,6,52,N/A,404200,441800,439200,365900,8,32300,T,1,35000,56000,70000,43.722786,-79.481449
47660,0,2019,401,,FWY,HWY 400 IC-359 NORTH YORK,540,CENTRAL,1.45,0,,90,C,6,57,N/A,421300,460500,457700,381300,10,42100,T,1,35000,56000,70000,43.716606,-79.519755
47661,0,2019,401,,FWY,WESTON RD IC-357 NORTH YORK,545,CENTRAL,1.369,0,,90,C,6,59,N/A,417700,456600,453800,378100,10,41800,T,1,35000,56000,70000,43.713413,-79.536122
47663,0,2019,401,,FWY,ISLINGTON AV IC-356 ETOBICOKE,547,CENTRAL,2.432,0,,74,UC,9,62,N/A,402800,396900,403000,388100,10,40300,T,1,35000,56000,70000,43.709504,-79.552512
47667,0,2019,401,,FWY,DIXON RD IC-354 ETOBICOKE,555,CENTRAL,2.411,0,,90,C,6,55,N/A,276600,302300,300500,250400,10,27700,T,1,35000,56000,70000,43.691968,-79.569445
47671,0,2019,401,,FWY,HWY 427 IC-352,612,CENTRAL,0.763,0,,90,C,6,57,N/A,450300,492200,489300,407600,9,40500,T,1,35000,56000,70000,43.671913,-79.582941
47672,0,2019,401,,FWY,RENFORTH DR IC-349,613,CENTRAL,4.328,0,,90,C,6,56,N/A,412800,451200,448500,373600,9,37200,T,1,35000,56000,70000,43.66868,-79.591228
47673,0,2019,401,,FWY,DIXIE RD IC-346,615,CENTRAL,1.452,0,,90,C,6,57,N/A,384100,419800,417300,347700,12,46100,T,1,35000,56000,70000,43.648206,-79.637014
47675,0,2019,401,,FWY,HWYS 410 & 403 IC-344 END OF COMPLEX FRWY,618,CENTRAL,2.788,0,,90,C,6,65,N/A,221800,242400,241000,200800,12,26600,T,1,35000,56000,70000,43.639281,-79.660667
47680,0,2019,401,,FWY,HWY 10 IC-342 HURONTARIO ST MISSISSAUGA,620,CENTRAL,2.136,0,,90,C,6,70,N/A,231200,252700,251200,209300,14,32400,T,1,35000,56000,70000,43.630233,-79.683897
47682,0,2019,401,,FWY,MAVIS ROAD IC,622,CENTRAL,3.465,0,,90,C,6,54,N/A,171900,187900,186800,155600,15,25400,T,1,35000,56000,70000,43.620699,-79.707992
47685,0,2019,401,,FWY,MISSISSAUGA RD IC-336,625,CENTRAL,3.437,0,,90,C,6,57,N/A,149100,163000,162000,135000,18,26800,MJ,6,35000,56000,70000,43.605524,-79.746178
47688,0,2019,401,,FWY,WINSTON CHURCHILL BV IC-333,628,CENTRAL,2.275,0,,74,UC,9,56,N/A,138800,136800,138900,133700,14,19400,T,1,35000,56000,70000,43.600442,-79.788256
47689,0,2019,401,,FWY,HWY 407 IC,629,CENTRAL,2.435,0,,30,IC,10,53,N/A,156500,171900,172800,141300,17,26600,T,1,35000,56000,70000,43.588555,-79.810387
47690,0,2019,401,,FWY,TRAFALGAR RD IC-328 MILTON,630,CENTRAL,4.175,0,,30,IC,10,55,N/A,152900,167900,168800,138000,18,27500,T,1,35000,56000,70000,43.570513,-79.829286
47695,0,2019,401,,FWY,JAMES SNOW PKWY IC-324 MILTON,632,CENTRAL,3.741,0,,30,IC,10,53,N/A,140600,154400,155200,126900,20,28100,T,1,35000,56000,70000,43.541893,-79.863019
47700,0,2019,401,,FWY,REG. RD 25 IC-320 MILTON,635,CENTRAL,8.165,0,,30,IC,10,54,N/A,117700,129300,130000,106300,19,22400,T,1,35000,56000,70000,43.528,-79.905399
47710,0,2019,401,,FWY,GUELPH LINE IC-312 HALTON RD 1 MILTON,640,CENTRAL,4.493,0,,37,CR,8,52,N/A,118600,137600,138500,106400,18,21300,T,1,35000,56000,70000,43.491142,-79.988048
47715,0,2019,401,,FWY,MILTON W LTS,643,WEST,7.313,0,,9,CTR,12,52,N/A,117500,156600,155900,95600,19,22000,T,1,35000,56000,70000,43.473108,-80.044344
